Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"ADC_BAT","OffPage","05 POWER","5","MAIN","R18.2,R20.1","920","510","3C","{3}"
"ADC_BAT","OffPage","03 MCU","3","MAIN","U2.12","170","390","5C","{5}"
"ADC_USB","OffPage","05 POWER","5","MAIN","R16.2,R19.1","510","510","4C","{3}"
"ADC_USB","OffPage","03 MCU","3","MAIN","U2.11","170","380","5C","{5}"
"USB_DP","OffPage","05 POWER","5","MAIN","R14.1","480","260","4D","{3}"
"USB_DP","OffPage","03 MCU","3","MAIN","U2.33","530","310","4C","{5}"
"USB_DM","OffPage","05 POWER","5","MAIN","R15.1","480","280","4C","{3}"
"USB_DM","OffPage","03 MCU","3","MAIN","U2.32","530","320","4C","{5}"
"SHT30_SDA","OffPage","04 SENSOR","4","MAIN","R10.1,U4.1","440","180","4D","{3}"
"SHT30_SDA","OffPage","03 MCU","3","MAIN","U2.28","530","360","4C","{4}"
"SHT30_SCL","OffPage","04 SENSOR","4","MAIN","R11.1,U4.4","440","210","4D","{3}"
"SHT30_SCL","OffPage","03 MCU","3","MAIN","U2.27","530","370","4C","{4}"
"SHT30_ALERT","OffPage","04 SENSOR","4","MAIN","U4.3","440","200","4D","{3}"
"SHT30_ALERT","OffPage","03 MCU","3","MAIN","U2.26","530","380","4C","{4}"
"SHT30_RST","OffPage","04 SENSOR","4","MAIN","U4.6","680","200","3D","{3}"
"SHT30_RST","OffPage","03 MCU","3","MAIN","U2.25","530","390","4C","{4}"
